MINIMAX: Boss=(17, 34), Player=(7, 36), Choice=('MOVE', (16, 34))
MINIMAX: Boss=(16, 34), Player=(7, 36), Choice=('MOVE', (15, 34))
MINIMAX: Boss=(15, 34), Player=(4, 30), Choice=('MOVE', (14, 34))
MINIMAX: Boss=(14, 34), Player=(4, 32), Choice=('MOVE', (13, 34))
MINIMAX: Boss=(13, 34), Player=(4, 36), Choice=('MOVE', (12, 34))
MINIMAX: Boss=(12, 34), Player=(4, 36), Choice=('MOVE', (11, 34))
MINIMAX: Boss=(11, 34), Player=(6, 36), Choice=('MOVE', (10, 34))
MINIMAX: Boss=(10, 34), Player=(6, 36), Choice=('MOVE', (9, 34))
MINIMAX: Boss=(9, 34), Player=(2, 36), Choice=('MOVE', (8, 34))
MINIMAX: Boss=(8, 34), Player=(2, 36), Choice=('MOVE', (7, 34))
MINIMAX: Boss=(7, 34), Player=(2, 30), Choice=('MOVE', (6, 34))
MINIMAX: Boss=(6, 34), Player=(4, 25), Choice=('MOVE', (6, 33))
MINIMAX: Boss=(6, 33), Player=(9, 29), Choice=('MOVE', (6, 32))
MINIMAX: Boss=(6, 32), Player=(13, 29), Choice=('MOVE', (6, 31))
MINIMAX: Boss=(6, 31), Player=(11, 29), Choice=('MOVE', (7, 30))
MINIMAX: Boss=(7, 30), Player=(11, 29), Choice=('MOVE', (8, 29))
MINIMAX: Boss=(8, 29), Player=(11, 29), Choice=('MOVE', (9, 29))
MINIMAX: Boss=(9, 29), Player=(7, 29), Choice=ATTACK
MINIMAX: Boss=(9, 29), Player=(3, 34), Choice=('MOVE', (8, 29))
MINIMAX: Boss=(8, 29), Player=(2, 36), Choice=('MOVE', (7, 30))
MINIMAX: Boss=(7, 30), Player=(3, 36), Choice=('MOVE', (7, 31))
MINIMAX: Boss=(7, 31), Player=(8, 36), Choice=('MOVE', (7, 32))
MINIMAX: Boss=(7, 32), Player=(13, 36), Choice=('MOVE', (8, 32))
MINIMAX: Boss=(8, 32), Player=(17, 36), Choice=('MOVE', (9, 32))
MINIMAX: Boss=(9, 32), Player=(22, 36), Choice=('MOVE', (10, 32))
MINIMAX: Boss=(10, 32), Player=(25, 32), Choice=('MOVE', (11, 32))
MINIMAX: Boss=(11, 32), Player=(25, 30), Choice=('MOVE', (12, 32))
MINIMAX: Boss=(12, 32), Player=(28, 27), Choice=('MOVE', (13, 32))
MINIMAX: Boss=(13, 32), Player=(32, 32), Choice=('MOVE', (14, 32))
MINIMAX: Boss=(14, 32), Player=(36, 36), Choice=('MOVE', (15, 32))
MINIMAX: Boss=(15, 32), Player=(33, 36), Choice=('MOVE', (16, 32))
MINIMAX: Boss=(16, 32), Player=(29, 32), Choice=('MOVE', (17, 32))
MINIMAX: Boss=(17, 32), Player=(30, 25), Choice=('MOVE', (18, 32))
MINIMAX: Boss=(18, 32), Player=(35, 24), Choice=('MOVE', (19, 32))
MINIMAX: Boss=(19, 32), Player=(37, 29), Choice=('MOVE', (20, 32))
MINIMAX: Boss=(20, 32), Player=(36, 29), Choice=('MOVE', (21, 32))
MINIMAX: Boss=(21, 32), Player=(36, 29), Choice=('MOVE', (22, 32))
MINIMAX: Boss=(22, 32), Player=(40, 29), Choice=('MOVE', (23, 32))
MINIMAX: Boss=(23, 32), Player=(39, 29), Choice=('MOVE', (24, 32))
MINIMAX: Boss=(24, 32), Player=(39, 29), Choice=('MOVE', (25, 32))
MINIMAX: Boss=(25, 32), Player=(41, 29), Choice=('MOVE', (26, 32))
MINIMAX: Boss=(26, 32), Player=(36, 29), Choice=('MOVE', (27, 32))
MINIMAX: Boss=(27, 32), Player=(32, 29), Choice=('MOVE', (28, 32))
MINIMAX: Boss=(28, 32), Player=(27, 36), Choice=('MOVE', (28, 33))
MINIMAX: Boss=(28, 33), Player=(22, 36), Choice=('MOVE', (27, 33))
MINIMAX: Boss=(27, 33), Player=(18, 36), Choice=('MOVE', (26, 33))
MINIMAX: Boss=(26, 33), Player=(18, 36), Choice=('MOVE', (25, 33))
MINIMAX: Boss=(25, 33), Player=(18, 36), Choice=('MOVE', (24, 33))
MINIMAX: Boss=(24, 33), Player=(16, 36), Choice=('MOVE', (23, 33))
MINIMAX: Boss=(23, 33), Player=(16, 36), Choice=('MOVE', (22, 33))
MINIMAX: Boss=(22, 33), Player=(12, 36), Choice=('MOVE', (21, 33))
MINIMAX: Boss=(21, 33), Player=(8, 36), Choice=('MOVE', (20, 33))
MINIMAX: Boss=(20, 33), Player=(4, 36), Choice=('MOVE', (19, 33))
MINIMAX: Boss=(19, 33), Player=(6, 32), Choice=('MOVE', (18, 33))
MINIMAX: Boss=(18, 33), Player=(4, 30), Choice=('MOVE', (17, 33))
MINIMAX: Boss=(17, 33), Player=(8, 36), Choice=('MOVE', (16, 33))
MINIMAX: Boss=(16, 33), Player=(6, 36), Choice=('MOVE', (15, 33))
MINIMAX: Boss=(15, 33), Player=(2, 30), Choice=('MOVE', (14, 33))
MINIMAX: Boss=(14, 33), Player=(6, 32), Choice=('MOVE', (13, 33))
MINIMAX: Boss=(13, 33), Player=(9, 36), Choice=('MOVE', (12, 33))
MINIMAX: Boss=(12, 33), Player=(6, 36), Choice=('MOVE', (11, 33))
MINIMAX: Boss=(11, 33), Player=(11, 35), Choice=('MOVE', (11, 34))
MINIMAX: Boss=(11, 34), Player=(6, 36), Choice=('MOVE', (10, 34))
MINIMAX: Boss=(10, 34), Player=(2, 34), Choice=('MOVE', (9, 34))
MINIMAX: Boss=(9, 34), Player=(5, 29), Choice=WAIT
MINIMAX: Boss=(9, 34), Player=(8, 28), Choice=('MOVE', (9, 33))
MINIMAX: Boss=(9, 33), Player=(12, 29), Choice=WAIT
MINIMAX: Boss=(9, 33), Player=(15, 29), Choice=('MOVE', (10, 33))
MINIMAX: Boss=(10, 33), Player=(12, 29), Choice=WAIT
